"Name","Period","lat","lng","age_min","age_max","age_mean","p_lng","p_lat","model"
"Garfield County (Montana, USA)","Maastrichtian",47.616,-106.902,72.2,66,69.1,-78.5048,53.3124,"TorsvikCocks2017"
"Garfield County (Montana, USA)","Maastrichtian",47.616,-106.902,72.2,66,69.1,-66.3238,53.1951,"MATTHEWS2016_pmag_ref"
"Garfield County (Montana, USA)","Maastrichtian",47.616,-106.902,72.2,66,69.1,-64.3791,58.4819,"GOLONKA"
"Garfield County (Montana, USA)","Maastrichtian",47.616,-106.902,72.2,66,69.1,-79.4065,54.6481,"PALEOMAP"
"Ferris Fm. 1 (Wyoming, USA)","Maastrichtian",41.932,-106.881,72.2,66,69.1,-69.798,49.6789,"MERDITH2021"
"Ferris Fm. 1 (Wyoming, USA)","Maastrichtian",41.932,-106.881,72.2,66,69.1,-82.016,48.0797,"TorsvikCocks2017"
"Ferris Fm. 1 (Wyoming, USA)","Maastrichtian",41.932,-106.881,72.2,66,69.1,-69.813,47.9589,"MATTHEWS2016_pmag_ref"
"Ferris Fm. 1 (Wyoming, USA)","Maastrichtian",41.932,-106.881,72.2,66,69.1,-68.6826,53.3321,"GOLONKA"
"Ferris Fm. 1 (Wyoming, USA)","Maastrichtian",41.932,-106.881,72.2,66,69.1,-81.972,49.1877,"PALEOMAP"
"Medicine Bow Fm. (Wyoming, USA)","Maastrichtian",42.058,-106.669,72.2,66,69.1,-69.5,49.7385,"MERDITH2021"
"Medicine Bow Fm. (Wyoming, USA)","Maastrichtian",42.058,-106.669,72.2,66,69.1,-81.7268,48.138,"TorsvikCocks2017"
"Medicine Bow Fm. (Wyoming, USA)","Maastrichtian",42.058,-106.669,72.2,66,69.1,-69.5245,48.0175,"MATTHEWS2016_pmag_ref"
"Medicine Bow Fm. (Wyoming, USA)","Maastrichtian",42.058,-106.669,72.2,66,69.1,-68.3563,53.3847,"GOLONKA"
"Medicine Bow Fm. (Wyoming, USA)","Maastrichtian",42.058,-106.669,72.2,66,69.1,-81.6883,49.2676,"PALEOMAP"
"Ferris Fm. 2 (Wyoming, USA)","Maastrichtian",42.066,-106.592,72.2,66,69.1,-69.4132,49.725,"MERDITH2021"
"Ferris Fm. 2 (Wyoming, USA)","Maastrichtian",42.066,-106.592,72.2,66,69.1,-81.6428,48.1241,"TorsvikCocks2017"
"Ferris Fm. 2 (Wyoming, USA)","Maastrichtian",42.066,-106.592,72.2,66,69.1,-69.4407,48.0036,"MATTHEWS2016_pmag_ref"
"Ferris Fm. 2 (Wyoming, USA)","Maastrichtian",42.066,-106.592,72.2,66,69.1,-68.2631,53.3691,"GOLONKA"
"Ferris Fm. 2 (Wyoming, USA)","Maastrichtian",42.066,-106.592,72.2,66,69.1,-81.6006,49.2601,"PALEOMAP"
"Boulder (Colorado, USA)","Maastrichtian",39.91,-105.244,72.2,66,69.1,-69.1554,47.3472,"MERDITH2021"
"Boulder (Colorado, USA)","Maastrichtian",39.91,-105.244,72.2,66,69.1,-81.4164,45.7451,"TorsvikCocks2017"
"Boulder (Colorado, USA)","Maastrichtian",39.91,-105.244,72.2,66,69.1,-69.21,45.6249,"MATTHEWS2016_pmag_ref"
"Boulder (Colorado, USA)","Maastrichtian",39.91,-105.244,72.2,66,69.1,-68.125,50.9867,"GOLONKA"
"Boulder (Colorado, USA)","Maastrichtian",39.91,-105.244,72.2,66,69.1,-80.9756,46.913,"PALEOMAP"
"Hell Creek Fm. (South Dakota, USA)","Maastrichtian",45.237,-103.197,72.2,66,69.1,-63.9131,51.7176,"MERDITH2021"
"Hell Creek Fm. (South Dakota, USA)","Maastrichtian",45.237,-103.197,72.2,66,69.1,-76.3082,50.0989,"TorsvikCocks2017"
"Hell Creek Fm. (South Dakota, USA)","Maastrichtian",45.237,-103.197,72.2,66,69.1,-64.1236,49.9841,"MATTHEWS2016_pmag_ref"
"Hell Creek Fm. (South Dakota, USA)","Maastrichtian",45.237,-103.197,72.2,66,69.1,-62.1559,55.2106,"GOLONKA"
"Hell Creek Fm. (South Dakota, USA)","Maastrichtian",45.237,-103.197,72.2,66,69.1,-76.5085,51.6218,"PALEOMAP"
"Sewell (New Jersey, USA)","Maastrichtian",39.773,-75.143,72.2,66,69.1,-39.7731,38.6664,"MERDITH2021"
"Sewell (New Jersey, USA)","Maastrichtian",39.773,-75.143,72.2,66,69.1,-52.7357,37.141,"TorsvikCocks2017"
"Sewell (New Jersey, USA)","Maastrichtian",39.773,-75.143,72.2,66,69.1,-40.5529,37.0621,"MATTHEWS2016_pmag_ref"
"Sewell (New Jersey, USA)","Maastrichtian",39.773,-75.143,72.2,66,69.1,-37.7991,41.1635,"GOLONKA"
"Sewell (New Jersey, USA)","Maastrichtian",39.773,-75.143,72.2,66,69.1,-50.3229,40.281,"PALEOMAP"
"Serraduy (Huesca, Spain)","Maastrichtian",42.35,0.516,72.2,66,69.1,8.8865,31.0051,"MERDITH2021"
"Serraduy (Huesca, Spain)","Maastrichtian",42.35,0.516,72.2,66,69.1,-4.1505,30.1905,"TorsvikCocks2017"
"Serraduy (Huesca, Spain)","Maastrichtian",42.35,0.516,72.2,66,69.1,7.6457,30.4331,"MATTHEWS2016_pmag_ref"
"Serraduy (Huesca, Spain)","Maastrichtian",42.35,0.516,72.2,66,69.1,10.6669,29.826,"GOLONKA"
"Serraduy (Huesca, Spain)","Maastrichtian",42.35,0.516,72.2,66,69.1,0.4926,34.0271,"PALEOMAP"
"Figols (Barcelona, Spain)","Maastrichtian",42.179,1.84,72.2,66,69.1,9.9936,30.7117,"MERDITH2021"
"Figols (Barcelona, Spain)","Maastrichtian",42.179,1.84,72.2,66,69.1,-3.0401,29.934,"TorsvikCocks2017"
"Figols (Barcelona, Spain)","Maastrichtian",42.179,1.84,72.2,66,69.1,8.7572,30.1715,"MATTHEWS2016_pmag_ref"
"Figols (Barcelona, Spain)","Maastrichtian",42.179,1.84,72.2,66,69.1,11.7252,29.4476,"GOLONKA"
"Figols (Barcelona, Spain)","Maastrichtian",42.179,1.84,72.2,66,69.1,1.6269,33.7074,"PALEOMAP"
"La Nou de Bergued,"Maastrichtian",42.168,1.883,72.2,66,69.1,10.0288,30.6969,"MERDITH2021"
"La Nou de Bergued,"Maastrichtian",42.168,1.883,72.2,66,69.1,-3.0046,29.9204,"TorsvikCocks2017"
"La Nou de Bergued,"Maastrichtian",42.168,1.883,72.2,66,69.1,8.7928,30.1576,"MATTHEWS2016_pmag_ref"
"La Nou de Bergued,"Maastrichtian",42.168,1.883,72.2,66,69.1,11.7583,29.4301,"GOLONKA"
"La Nou de Bergued,"Maastrichtian",42.168,1.883,72.2,66,69.1,1.6628,33.6917,"PALEOMAP"
"Mina Esperanza (Barcelona, Spain)","Maastrichtian",42.154,1.946,72.2,66,69.1,10.0806,30.6772,"MERDITH2021"
"Mina Esperanza (Barcelona, Spain)","Maastrichtian",42.154,1.946,72.2,66,69.1,-2.9523,29.9025,"TorsvikCocks2017"
"Mina Esperanza (Barcelona, Spain)","Maastrichtian",42.154,1.946,72.2,66,69.1,8.8451,30.1395,"MATTHEWS2016_pmag_ref"
"Mina Esperanza (Barcelona, Spain)","Maastrichtian",42.154,1.946,72.2,66,69.1,11.8073,29.4065,"GOLONKA"
"Mina Esperanza (Barcelona, Spain)","Maastrichtian",42.154,1.946,72.2,66,69.1,1.7157,33.6708,"PALEOMAP"
"Mishor Rotem (Southern District, Israel)","Maastrichtian",31.041,35.129,72.2,66,69.1,35.7405,10.7442,"MERDITH2021"
"Mishor Rotem (Southern District, Israel)","Maastrichtian",31.041,35.129,72.2,66,69.1,23.5243,12.8032,"TorsvikCocks2017"
"Mishor Rotem (Southern District, Israel)","Maastrichtian",31.041,35.129,72.2,66,69.1,35.143,10.9831,"MATTHEWS2016_pmag_ref"
"Mishor Rotem (Southern District, Israel)","Maastrichtian",31.041,35.129,72.2,66,69.1,37.2059,10.7868,"GOLONKA"
"Mishor Rotem (Southern District, Israel)","Maastrichtian",31.041,35.129,72.2,66,69.1,29.4222,16.7768,"PALEOMAP"
"Therria (Meghalaya, India)","Maastrichtian",25.188,91.764,72.2,66,69.1,79.3683,-27.6657,"MERDITH2021"
"Therria (Meghalaya, India)","Maastrichtian",25.188,91.764,72.2,66,69.1,70.7594,-27.0282,"TorsvikCocks2017"
"Therria (Meghalaya, India)","Maastrichtian",25.188,91.764,72.2,66,69.1,79.6442,-26.2994,"MATTHEWS2016_pmag_ref"
"Therria (Meghalaya, India)","Maastrichtian",25.188,91.764,72.2,66,69.1,84.9116,-31.873,"GOLONKA"
"Therria (Meghalaya, India)","Maastrichtian",25.188,91.764,72.2,66,69.1,75.6392,-26.8941,"PALEOMAP"
"Marlboro (New Jersey, USA)","Late Campanian",40.358,-74.28,83.6,66,74.8,-36.8446,38.53,"MERDITH2021"
"Marlboro (New Jersey, USA)","Late Campanian",40.358,-74.28,83.6,66,74.8,-48.3723,37.6228,"TorsvikCocks2017"
"Marlboro (New Jersey, USA)","Late Campanian",40.358,-74.28,83.6,66,74.8,-37.5472,37.2341,"MATTHEWS2016_pmag_ref"
"Marlboro (New Jersey, USA)","Late Campanian",40.358,-74.28,83.6,66,74.8,-35.2429,40.8781,"GOLONKA"
"Marlboro (New Jersey, USA)","Late Campanian",40.358,-74.28,83.6,66,74.8,-44.0416,41.2951,"PALEOMAP"
"Lo Hueco (Cuenca, Spain)","Late Campanian",39.965,-2.053,83.6,66,74.8,6.96,28.9434,"MERDITH2021"
"Lo Hueco (Cuenca, Spain)","Late Campanian",39.965,-2.053,83.6,66,74.8,-4.5823,28.2079,"TorsvikCocks2017"
"Lo Hueco (Cuenca, Spain)","Late Campanian",39.965,-2.053,83.6,66,74.8,6.0025,28.4302,"MATTHEWS2016_pmag_ref"
"Lo Hueco (Cuenca, Spain)","Late Campanian",39.965,-2.053,83.6,66,74.8,8.2557,28.3964,"GOLONKA"
"Lo Hueco (Cuenca, Spain)","Late Campanian",39.965,-2.053,83.6,66,74.8,1.0353,31.2828,"PALEOMAP"
"La Solana (Valencia, Spain)","Late Campanian",39.203,-0.587,83.6,66,74.8,8.0948,28.0148,"MERDITH2021"
"La Solana (Valencia, Spain)","Late Campanian",39.203,-0.587,83.6,66,74.8,-3.4208,27.3131,"TorsvikCocks2017"
"La Solana (Valencia, Spain)","Late Campanian",39.203,-0.587,83.6,66,74.8,7.1595,27.5285,"MATTHEWS2016_pmag_ref"
"La Solana (Valencia, Spain)","Late Campanian",39.203,-0.587,83.6,66,74.8,9.3044,27.3973,"GOLONKA"
"La Solana (Valencia, Spain)","Late Campanian",39.203,-0.587,83.6,66,74.8,2.1482,30.3115,"PALEOMAP"
"Red Willow River Hadrosaurus Skeleton (Alberta, Canada)","Late Campanian",55.081,-119.521,83.6,72.2,77.9,-71.5302,63.6108,"MERDITH2021"
"Red Willow River Hadrosaurus Skeleton (Alberta, Canada)","Late Campanian",55.081,-119.521,83.6,72.2,77.9,-81.0252,62.9353,"TorsvikCocks2017"
"Red Willow River Hadrosaurus Skeleton (Alberta, Canada)","Late Campanian",55.081,-119.521,83.6,72.2,77.9,-71.2993,62.4221,"MATTHEWS2016_pmag_ref"
"Red Willow River Hadrosaurus Skeleton (Alberta, Canada)","Late Campanian",55.081,-119.521,83.6,72.2,77.9,-71.1056,66.7191,"GOLONKA"
"Red Willow River Hadrosaurus Skeleton (Alberta, Canada)","Late Campanian",55.081,-119.521,83.6,72.2,77.9,-81.2998,64.446,"PALEOMAP"
"Wapiti River/Pipestone Creek Bonebed (Alberta, Canada)","Late Campanian",55.052,-119.107,83.6,72.2,77.9,-71.0789,63.4819,"MERDITH2021"
"Wapiti River/Pipestone Creek Bonebed (Alberta, Canada)","Late Campanian",55.052,-119.107,83.6,72.2,77.9,-80.5888,62.8033,"TorsvikCocks2017"
"Wapiti River/Pipestone Creek Bonebed (Alberta, Canada)","Late Campanian",55.052,-119.107,83.6,72.2,77.9,-70.8683,62.2915,"MATTHEWS2016_pmag_ref"
"Wapiti River/Pipestone Creek Bonebed (Alberta, Canada)","Late Campanian",55.052,-119.107,83.6,72.2,77.9,-70.6039,66.5868,"GOLONKA"
"Wapiti River/Pipestone Creek Bonebed (Alberta, Canada)","Late Campanian",55.052,-119.107,83.6,72.2,77.9,-80.8152,64.3312,"PALEOMAP"
"Pipestone Creek Pachyrhinosaurus Bonebed (Alberta, Canada)","Late Campanian",55.063,-119.102,83.6,72.2,77.9,-71.0624,63.4905,"MERDITH2021"
"Pipestone Creek Pachyrhinosaurus Bonebed (Alberta, Canada)","Late Campanian",55.063,-119.102,83.6,72.2,77.9,-80.5724,62.8118,"TorsvikCocks2017"
"Pipestone Creek Pachyrhinosaurus Bonebed (Alberta, Canada)","Late Campanian",55.063,-119.102,83.6,72.2,77.9,-70.8523,62.3001,"MATTHEWS2016_pmag_ref"
"Pipestone Creek Pachyrhinosaurus Bonebed (Alberta, Canada)","Late Campanian",55.063,-119.102,83.6,72.2,77.9,-70.585,66.5953,"GOLONKA"
"Pipestone Creek Pachyrhinosaurus Bonebed (Alberta, Canada)","Late Campanian",55.063,-119.102,83.6,72.2,77.9,-80.7997,64.3404,"PALEOMAP"
"Spring Creek Bonebed (Alberta, Canada)","Late Campanian",55.076,-118.924,83.6,72.2,77.9,-70.8442,63.4579,"MERDITH2021"
"Spring Creek Bonebed (Alberta, Canada)","Late Campanian",55.076,-118.924,83.6,72.2,77.9,-80.3604,62.7777,"TorsvikCocks2017"
"Spring Creek Bonebed (Alberta, Canada)","Late Campanian",55.076,-118.924,83.6,72.2,77.9,-70.6433,62.2668,"MATTHEWS2016_pmag_ref"
"Spring Creek Bonebed (Alberta, Canada)","Late Campanian",55.076,-118.924,83.6,72.2,77.9,-70.3414,66.561,"GOLONKA"
"Spring Creek Bonebed (Alberta, Canada)","Late Campanian",55.076,-118.924,83.6,72.2,77.9,-80.5701,64.3146,"PALEOMAP"
"Punta Baja (Baja California, Mexico)","Late Campanian",29.958,-115.807,83.6,72.2,77.9,-111.7062,31.973,"TorsvikCocks2017"
"Punta Baja (Baja California, Mexico)","Late Campanian",29.958,-115.807,83.6,72.2,77.9,-115.807,29.958,"GOLONKA"
"Punta Baja (Baja California, Mexico)","Late Campanian",29.958,-115.807,83.6,72.2,77.9,-85.7782,36.0989,"PALEOMAP"
"Grassy Lake (Alberta, Canada)","Late Campanian",49.897,-111.95,83.6,72.2,77.9,-67.3862,56.9886,"MERDITH2021"
"Grassy Lake (Alberta, Canada)","Late Campanian",49.897,-111.95,83.6,72.2,77.9,-77.1444,56.2864,"TorsvikCocks2017"
"Grassy Lake (Alberta, Canada)","Late Campanian",49.897,-111.95,83.6,72.2,77.9,-67.381,55.7877,"MATTHEWS2016_pmag_ref"
"Grassy Lake (Alberta, Canada)","Late Campanian",49.897,-111.95,83.6,72.2,77.9,-66.8016,60.059,"GOLONKA"
"Grassy Lake (Alberta, Canada)","Late Campanian",49.897,-111.95,83.6,72.2,77.9,-76.1976,57.9612,"PALEOMAP"
"Dinosaur Provincial Park (Alberta, Canada)","Late Campanian",50.758,-111.484,83.6,72.2,77.9,-66.2438,57.6591,"MERDITH2021"
"Dinosaur Provincial Park (Alberta, Canada)","Late Campanian",50.758,-111.484,83.6,72.2,77.9,-76.0099,56.9498,"TorsvikCocks2017"
"Dinosaur Provincial Park (Alberta, Canada)","Late Campanian",50.758,-111.484,83.6,72.2,77.9,-66.27,56.4558,"MATTHEWS2016_pmag_ref"
"Dinosaur Provincial Park (Alberta, Canada)","Late Campanian",50.758,-111.484,83.6,72.2,77.9,-65.5234,60.7154,"GOLONKA"
"Dinosaur Provincial Park (Alberta, Canada)","Late Campanian",50.758,-111.484,83.6,72.2,77.9,-75.0945,58.6641,"PALEOMAP"
"San Juan Basin (New Mexico, USA)","Late Campanian",36.285,-108.193,83.6,72.2,77.9,-70.8397,43.2806,"MERDITH2021"
"San Juan Basin (New Mexico, USA)","Late Campanian",36.285,-108.193,83.6,72.2,77.9,-80.7689,42.6018,"TorsvikCocks2017"
"San Juan Basin (New Mexico, USA)","Late Campanian",36.285,-108.193,83.6,72.2,77.9,-70.8444,42.0898,"MATTHEWS2016_pmag_ref"
"San Juan Basin (New Mexico, USA)","Late Campanian",36.285,-108.193,83.6,72.2,77.9,-70.8593,46.3855,"GOLONKA"
"San Juan Basin (New Mexico, USA)","Late Campanian",36.285,-108.193,83.6,72.2,77.9,-79.9629,44.2781,"PALEOMAP"
"Allen Ridge Fm. (Wyoming, USA)","Late Campanian",41.989,-106.385,83.6,72.2,77.9,-66.2708,48.2164,"MERDITH2021"
"Allen Ridge Fm. (Wyoming, USA)","Late Campanian",41.989,-106.385,83.6,72.2,77.9,-76.1912,47.5078,"TorsvikCocks2017"
"Allen Ridge Fm. (Wyoming, USA)","Late Campanian",41.989,-106.385,83.6,72.2,77.9,-66.3441,47.0132,"MATTHEWS2016_pmag_ref"
"Allen Ridge Fm. (Wyoming, USA)","Late Campanian",41.989,-106.385,83.6,72.2,77.9,-65.9079,51.2752,"GOLONKA"
"Allen Ridge Fm. (Wyoming, USA)","Late Campanian",41.989,-106.385,83.6,72.2,77.9,-74.3376,49.2318,"PALEOMAP"
"Brewster County (Texas, USA)","Late Campanian",29.204,-103.569,83.6,72.2,77.9,-68.7763,35.3632,"MERDITH2021"
"Brewster County (Texas, USA)","Late Campanian",29.204,-103.569,83.6,72.2,77.9,-78.8145,34.6708,"TorsvikCocks2017"
"Brewster County (Texas, USA)","Late Campanian",29.204,-103.569,83.6,72.2,77.9,-68.8568,34.166,"MATTHEWS2016_pmag_ref"
"Brewster County (Texas, USA)","Late Campanian",29.204,-103.569,83.6,72.2,77.9,-68.8167,38.4508,"GOLONKA"
"Brewster County (Texas, USA)","Late Campanian",29.204,-103.569,83.6,72.2,77.9,-76.1855,36.3155,"PALEOMAP"
"Cedar Lake (Manitoba, Canada)","Late Campanian",53.438,-100.97,83.6,72.2,77.9,-53.2421,57.3265,"MERDITH2021"
"Cedar Lake (Manitoba, Canada)","Late Campanian",53.438,-100.97,83.6,72.2,77.9,-63.2715,56.5584,"TorsvikCocks2017"
"Cedar Lake (Manitoba, Canada)","Late Campanian",53.438,-100.97,83.6,72.2,77.9,-53.6806,56.1292,"MATTHEWS2016_pmag_ref"
"Cedar Lake (Manitoba, Canada)","Late Campanian",53.438,-100.97,83.6,72.2,77.9,-51.3935,60.1351,"GOLONKA"
"Cedar Lake (Manitoba, Canada)","Late Campanian",53.438,-100.97,83.6,72.2,77.9,-61.6384,58.682,"PALEOMAP"
"Neuse River (North Carolina, USA)","Late Campanian",35.364,-78.043,83.6,72.2,77.9,-41.4224,34.5044,"MERDITH2021"
"Neuse River (North Carolina, USA)","Late Campanian",35.364,-78.043,83.6,72.2,77.9,-51.7123,33.7163,"TorsvikCocks2017"
"Neuse River (North Carolina, USA)","Late Campanian",35.364,-78.043,83.6,72.2,77.9,-41.8861,33.3655,"MATTHEWS2016_pmag_ref"
"Neuse River (North Carolina, USA)","Late Campanian",35.364,-78.043,83.6,72.2,77.9,-40.4864,36.9833,"GOLONKA"
"Neuse River (North Carolina, USA)","Late Campanian",35.364,-78.043,83.6,72.2,77.9,-48.3608,36.1258,"PALEOMAP"
"Tar River (North Carolina, USA)","Late Campanian",35.679,-77.481,83.6,72.2,77.9,-40.773,34.6545,"MERDITH2021"
"Tar River (North Carolina, USA)","Late Campanian",35.679,-77.481,83.6,72.2,77.9,-51.0688,33.8663,"TorsvikCocks2017"
"Tar River (North Carolina, USA)","Late Campanian",35.679,-77.481,83.6,72.2,77.9,-41.2468,33.5202,"MATTHEWS2016_pmag_ref"
"Tar River (North Carolina, USA)","Late Campanian",35.679,-77.481,83.6,72.2,77.9,-39.8092,37.1111,"GOLONKA"
"Tar River (North Carolina, USA)","Late Campanian",35.679,-77.481,83.6,72.2,77.9,-47.7024,36.2878,"PALEOMAP"
"Ellisdale (New Jersey, USA)","Late Campanian",40.13,-74.586,83.6,72.2,77.9,-36.2654,38.0988,"MERDITH2021"
"Ellisdale (New Jersey, USA)","Late Campanian",40.13,-74.586,83.6,72.2,77.9,-46.6081,37.3122,"TorsvikCocks2017"
